Sender,Subject,Body,Attachment Saved
no-reply@mail.instagram.com,nemo._.phila_26 and 24 others started following you,"Facebook happyhaatbd, you have 25 new followers.    nemo._.phila_26~°Nusrat Jahan🌼View profile     borsha.khan.735507Borsha KhanView profile     rashid05022005Harun or RashidView profile     sadat_shameemShameem SadatView profile     luipaofficialLuipaView profile   View all    © Instagram. Meta Platforms, Inc., 1601 Willow Road, Menlo Park, CA 94025, USThis message was sent to support@happyhaat.com and intended for happyhaatbd. If you don't want to receive these emails from Instagram in the future, please unsubscribe.",No Attachment
customerservice@qima.com,"=?UTF-8?Q?Last_Chance:_Janet_Seltzer=E2=80=99s_Pla?=
 =?UTF-8?Q?ybook_for_Supply_Chain_Resilience?=","QIMA






Join our expert fireside chat to get actionable strategies for risk, compliance, and supply chain resilience—plus exclusive QIMA data.






















 










 



 

Navigate Sourcing Shifts & Risk—Live with Supply Chain Expert Janet Seltzer
  






   


 


 

Hi,Many companies like yours feel vulnerable to new risks as the peak season approaches. It’s time for a 
decryption sessionfocused on mitigating supply chain risk. 


Tomorrow, join Janet Seltzer—a supply chain resilience expert—for live, actionable strategies on risk management. 



 We’ll discuss the latest trends, including: 


 51% of supply chain leaders say trade volatility is their primary challenge. 
 Only 13% of businesses report full visibility across their sourcing networks. 


 U.S. inspections in Southeast Asia are up 55% this year. 
 


Leading businesses act early. They diversify, invest in better visibility, and adapt quickly to stay resilient. Do you?Seats are limited. Register now.

  






Book my seat


 


 

Webinar DetailsDate: July 22nd, 2025 
Time: 11 AM EDT / 8 AM PST / 5 PM CEST 


*If this webinar is not in a suitable time zone for you, we still recommend that you register and we will email the recording after the session is completed

  


 

 Meet Our Speaker 
  





 


 

Janet Seltzer

Supply Chain Resilience Expert

With 40 years of experience across Production, Product Development, Innovation, R&D, Quality, Logistics, and Operations, Janet has driven excellence in the apparel industry by leading large-scale operations, building high-performing teams at companies like Tommy John, and designing resilient global supply chains. In the past eight years, she has focused on helping emerging brands such as Negative Underwear, Line in the Sand, and Evelyn & Bobbie scale and succeed, leveraging her expertise and global relationships to guide startups through complexity and sustainable growth. 

  


 

We look forward to seeing you at the webinar! 

The QIMA Team 

  

 



 


 




















  ABOUT QIMA  







 


 


At QIMA we are on a mission to offer our clients smart solutions to make products consumers can trust. We combine on-the-ground experts for quality inspections, supplier audits, certification, and lab testing, with a digital platform that brings accuracy, visibility and intelligence for quality and compliance data. Read More 


 


























 

 

 

 

 



 


 


 









 



 














  QIMA © 2025  


 




 














							This email was sent to support@happyhaat.com. You can manage how many emails you receive from us by updating your email preferences or unsubscribe completely by clicking here.",No Attachment
english-quora-digest@quora.com,=?utf-8?q?Why_do_some_forwarded_messages_hang_in_WhatsApp=3F?=,"Why do some forwarded messages hang in WhatsApp?Thanks for A2A. There are some forwarded messages which hangs phone. These messages are like :- Once you touch or open such messages, WhatsApp immediately hangs. After that such a msg pops :- … Top stories for Support Why do some forwarded messages hang in WhatsApp?Rahul Chaurasia, Software Engineer (2017-present) • Answered August 7, 2021Thanks for A2A. There are some forwarded messages which hangs phone. These messages are like :- Once you touch or open such messages, WhatsApp immediately hangs. After that s... Read more »1.4K32 Why doesn't everyone that wears glasses get Lasik?Matthew Bates, Teacher (2009-present) • Answered May 13I will speak for myself. I look better with glasses on. I’ve worn glasses since I was 12 years old. They do not bother me at all. That’s pretty much it.... Read more »31523 My HR manager asked me to resign. When I refused, he handed me a termination letter, severance check, and relieving letter. Clearly not all is right. What can I do?Mark Pompey, Student, Sr. IT Technician • Answered December 25, 2024One thing you can keep in mind. Someone mentioned that if you resign, you don’t have to tell future employers you were fired. Keep in mind, many companies and organizations... Read more »3.5K390 How do I maintain healthy eyes?Raghuraj Hegde, Ophthalmic Plastic Surgeon based in Bangalore • Updated January 17, 2016Surprising to many- not much! Our eyes are designed to self-service itself. Just the act of blinking has several functions: Blinking lubricates the eye with tears...Read more »20910 How do I find out who hacked my Facebook account?Andm, knows French • Answered July 5𝐼𝒻 𝓎𝑜𝓊 𝒻𝒾𝓃𝒹 𝓎𝑜𝓊𝓇𝓈𝑒𝓁𝒻 𝓁𝑜𝒸𝓀𝑒𝒹 𝑜𝓊𝓉 𝑜𝒻 𝓎𝑜𝓊𝓇 𝓈𝑜𝒸𝒾𝒶𝓁 𝓂𝑒𝒹𝒾𝒶 𝒶𝒸𝒸𝑜𝓊𝓃𝓉 𝒹𝓊𝑒 𝓉𝑜 𝒶 𝓂𝒶𝓁𝒾𝒸𝒾𝑜𝓊𝓈 𝒷𝓇𝑒𝒶𝒸𝒽 𝓌𝒽𝑒𝓇𝑒 𝓉𝒽𝑒 𝒽𝒶𝒸𝓀𝑒𝓇 𝒽𝒶𝓈 𝒸𝒽𝒶𝓃𝑔𝑒𝒹 𝒶𝓁𝓁 𝓎𝑜𝓊𝓇 𝓇𝑒𝒸𝑜𝓋𝑒𝓇𝓎 𝒹𝑒𝓉𝒶𝒾𝓁𝓈, 𝓉𝓎𝓅𝒾𝒸𝒶𝓁 𝓈𝓊𝓅𝓅𝑜𝓇𝓉 𝒸𝒽𝒶𝓃𝓃𝑒𝓁𝓈 𝓂𝒶𝓎 ... Read more »13 What is the salary after SSC CGL?Satyam, Inspector at Central Board of Excise and Customs (2023-present) • Answered July 1I have been working as a GST Inspector which is 4600 grade pay post. So, i will tell you what salary you will get if you join a 4600 grade pay post. Basic Pay - 46200 Dearnes... Read more »15832 Why do we use vitamin C serum?Luisa Fanzani, Skincare formulator and brand owner @ Luisa True Skincare • Answered August 18, 2023Vitamin C serum is a staple in any “advanced” skincare routine. Want to know why it’s so popular? Here is why we use it: We use vitamin C serum because it brightens the skin ...Read more »834 Why do universities teach C/C++?Joshua Gross, Associate Professor of Computer Science at CSUMB • Updated September 28, 2024There’s an old joke. Two fish are swimming along, and another, older fish swims by and says, “Water’s nice today, huh?” A moment later, one of the two fish turns to the othe... Read more »5K299 Do narcissists ever care?Asked in Relationship with Narcissist • Answered by Angela T. Nicholson • July 12Yes. there is one thing narcissists really really care about, The thing that all Narcissists cannot live without; its is something that also makes them happy and it is also... Read more »72878 Should we apply hair oil daily?Rakesh Sharma, B. Tech Mechanical Engineering, Institute of Technical Education and Research (2... • Updated September 18, 2020No. I was loosing around 50–100 hair per day due to regular applications of oil. Then, I found somewhere that, regular application of oil is bad for the scalp. Edit: This was... Read more »3.6K225 Is it grammatically correct to say, ""Sam and I have the same age""?Mike Mendis, former Editor • Updated November 28, 2024Is it grammatically correct to say, ""Sam and I have the same age""?It is grammatically correct, but we do not use it in English in a sentence like this one. When we are talk... Read more »42147 Is vaping better than smoking?Thomas Cayne, Writer, painter, thinker, madman. • Answered February 27Vaping indeed is much less harmful than smoking. But that is also the very reason why it is more dangerous than you might be inclined to think. And no, vaping does not cause... Read more »26762Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
md.sumonali@qima.com,5 Ways to Improve Your Supply Chain,"QIMA






We know that there are many challenges that can arise when managing quality control and compliance in your supply chain. 






















 










 



 

 5 Ways to Improve Your Supply Chain 
  






   


 


 

Hi,We know that there are many challenges that can arise when managing quality control and compliance in your supply chain. QIMA enables you to take control and efficiently manage your supply chain operations in one central place. 
  







1.
Improve visibility: Our inspection, audit and lab test reports show you the real state of your supply chain


2.
Manage your suppliers: We provide real-time intelligence on your suppliers and quality trends


3.
Protect your brand: Our inspection and testing programs will ensure your products meet the standards of your business and market


4.
Reduce costs: We offer all-inclusive prices and instant quotes with no hidden fees



5.
Make informed decisions on the go: You have full online and mobile access to your supplier stats and product testing data




 


 

 Want to see QIMA in action? Create a free online account and see for yourself how easy it is to manage your product and supplier compliance with QIMA. 

  






  Get Started 


 

 



 


 




















  ABOUT QIMA  







 


 


At QIMA we are on a mission to offer our clients smart solutions to make products consumers can trust. We combine on-the-ground experts for quality inspections, supplier audits, certification, and lab testing, with a digital platform that brings accuracy, visibility and intelligence for quality and compliance data. Read More 


 


























 

 

 

 

 



 


 


 









 



 














  QIMA © 2025  


 




 














							This email was sent to support@happyhaat.com. You can manage how many emails you receive from us by updating your email preferences or unsubscribe completely by clicking here.",No Attachment
sugaya.shunki@atb-jobs.com,=?utf-8?Q?=E2=9A=A1?= Success Story: Growing with the Right Team,"Hi Happy Haat,





Success Story: Growing with the Right Team


Finding the right team members doesn't just fill open roles—it drives real business growth.
That's exactly what happened with Blue Pie Records, one of Australia's leading independent music companies. They struggled for weeks to find the right talent—until they partnered with atB Jobs Bangladesh.
Using our smart filters, job promotion tools, and candidate insights, they quickly built a stronger team—and saw results immediately.



""We were spending weeks sifting through mismatched applications. After posting on atB Jobs, we hired 3 great people in under 15 days.""
— Mr. Abid, HR Lead, Blue Pie Records



🚀 Here's what they gained:





✅ Faster hiring
Reduced hiring time from weeks to just 15 days with quality candidates.




 




✅ Better candidate matches
Smart filtering ensures you get relevant applications, not just volume.




 




✅ Dedicated support whenever needed
Our team is always ready to help you succeed in your hiring goals.








Ready to build your dream team?
Join successful companies like Blue Pie Records and experience the atB Jobs difference.
Post a Job Now Contact Us







Warm regards,
The atB Jobs Team
This is a system generated message. Do not reply.










atB Jobs Bangladesh
11th Floor, MMK-Aakash Avenue, Plot No. 12, Kamal Ataturk Avenue, Gulshan-2, Dhaka-1212, Bangladesh
+8801400492818
info@atb-jobs.com






    Don't want any more emails? 
    
       Unsubscribe here",No Attachment
english-quora-digest@quora.com,=?utf-8?q?13_SIGNS_OF_A_WEAK_PERSON?=,"13 SIGNS OF A WEAK PERSON1. Can't say ""NO."" 2. Always watching adult videos. 3. Thinks they can’t change their problems. 4. Controlled by their bad habits. 5. Talks behind people’s backs a lot. 6. Can't take feedback … Top stories for Support 13 SIGNS OF A WEAK PERSONAyaz Ali • Posted Nov 4, 20241. Can't say ""NO."" 2. Always watching adult videos. 3. Thinks they can’t change their problems. 4. Controlled by their bad habits. 5. Talks behind people’s backs a lot.... Read more »2.9K428 Does wearing glasses damage my vision without them?Bill Otto, Top Writer Eyesight & Optometry at Quora • Updated January 29If you have myopia, it continues to get worse until you stop growing around the age of 18–25 regardless of whether you wear glasses. This has been shown to be true in clinic... Read more »989 My blood pressure is 150/100 and I am 26. Should I start taking medicine?Phillip Shepard, MD Medicine and Healthcare, University of Michigan Medical School (1968) • Answered May 23I am an MD. If you are only 26 and your BP is that high you should see an MD for hypertension workup. There is significant chance that this not the usual essential hyperten... Read more »31136 Is it possible to contact Facebook for assistance? If so, what is the process and what has been your experience when communicating with them?Holly Glassey, Facebook policy 2025 Must read • Answered June 22Depends on what you're contacting them from. I have sent 10 times more request since last 3 weeks. but nobody Interverned. I believe the Facebook system no longer takes appe... Read more »764 My face is always dull and also looking dark. I have white skin. Why is it showing like this? What are some tips to get glowing skin?Pragati Verma, Software engineer ,skin and makeup expert • Answered July 25, 2020Hello friend.. This problem is very normal for now a days lifestyle .you have a white skin but lack of proper care and healthy skin care your skin dull looking like dark if ... Read more »65430 PSYCHOLOGY FACTSHoorab Jahangeer, Teacher (2022-present) • Posted Nov 9, 20241. If someone walks fast, they tend to have a strong sense of purpose. 2. Someone who hums or sings often might be feeling nervous or anxious. 3. If someone fakes a smile a lot, they could be battlin... Read more »4.4K212 My HR manager asked me to resign. When I refused, he handed me a termination letter, severance check, and relieving letter. Clearly not all is right. What can I do?Mark Pompey, Student, Sr. IT Technician • Answered December 25, 2024One thing you can keep in mind. Someone mentioned that if you resign, you don’t have to tell future employers you were fired. Keep in mind, many companies and organizations... Read more »3.5K390 I'm doing a PhD at a low-ranked university (ranked 301-350 globally). Should I drop out and try to find a job at a company, since getting a PhD from a low-ranked university is useless and worthless?Drew Rae, Senior Lecturer at Griffith University (2014-present) • Updated May 22, 2020From the tone of the question, it seems like the questioner started a PhD but is now worried that they were a bit naive about how the academic world works. Focusing on univ... Read more »1.8K96 Is it possible to hack someone's WhatsApp through text or voice messages?Biden Penny, Chief Security Officer at Auckland, New Zealand (2003-present) • Answered July 9𝑫̳𝒊̳𝒈̳𝒊̳𝒕̳𝒂̳𝒍̳ ̳𝒕̳𝒆̳𝒄̳𝒉̳𝒏̳𝒐̳𝒍̳𝒐̳𝒈̳𝒚̳ ̳𝒉̳𝒂̳𝒔̳ ̳𝒃̳𝒆̳𝒄̳𝒐̳𝒎̳𝒆̳ ̳𝒂̳𝒏̳ ̳𝒊̳𝒏̳𝒕̳𝒆̳𝒈̳𝒓̳𝒂̳𝒍̳ ̳𝒄̳𝒐̳𝒎̳𝒑̳𝒐̳𝒏̳𝒆̳𝒏̳𝒕̳ ̳𝒐̳𝒇̳ ̳𝒄̳𝒐̳𝒏̳𝒕̳𝒆̳𝒎̳𝒑̳𝒐̳𝒓̳𝒂̳𝒓̳𝒚̳ ̳𝒔̳𝒐̳𝒄̳𝒊̳𝒆̳𝒕̳𝒚̳,̳ ̳𝒊̳𝒓̳𝒓̳𝒆̳𝒔̳𝒑̳𝒆̳𝒄̳𝒕̳... Read more »7 Does a human being know they’re dead once they die?Wendy Ross, Retired • Answered August 19, 2024My grandmother died in the middle of the night when I was five years old. She came into my room and woke me and sat on the edge of the bed and told me that my mother was go... Read more »28.5K2.9K If a dog is charging at you, and you run towards it, what would be the dog's reaction?Robin Banks, I love pets, life and being Dr. Phil's idol occasionally • Updated August 12, 2022I did that when I saw two pitbulls running towards me after getting out of their fenced yard. I figured I had nothing to lose so I ran right at them while yelling, and they... Read more »33K3.5K I'm 58 years old. I am addicted to meth. Where can I get help at my age?Jared Shepardson, 24 years in addiction, poly substance abuse • Answered March 25I don't think your fucked. Anyone can quit, anytime they want to! Your gonna have to get REAL fuckin honest with yourself when you're alone and sober and it's just you vers... Read more »1.4K561Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
worldbeautiesandwonders-space@quora.com,"=?utf-8?q?My_parents_got_married_quite_late=2E_My_father_was_44_and_my_mothe?=
 =?utf-8?q?r_33=2E_After_one_and_half_years_and_a_miscarriage=2C_I_was_born?=
 =?utf-8?q?=2E_And_after_just_13_mon=2E=2E=2E?=","My parents got married quite late. My father was 44 and my mother 33. After one and half years and a miscarriage, I was born. And after just 13 mon...My parents got married quite late. My father was 44 and my mother 33. After one and half years and a miscarriage, I was born. And after just 13 months my sister arrived. We were like twins. My father World Beauties and Wonders • 10.4K followersHistory, Geography, Nature, Human and Animal Monika Gosk, works at British Pound Sterling (1981-present)Posted Oct 26, 2024My parents got married quite late. My father was 44 and my mother 33. After one and half years and a miscarriage, I was born. And after just 13 months my sister arrived. We were like twins. My fath... Read more »  Monika Gosk, works at British Pound Sterling (1981-present)Posted Mar 31A police car stopped in front of my house, and I got out of my car and asked, ""Are you looking for me?"" The officer said, ""Yes."" I immediately started panicking, thinking, ""What did I do wrong? What... Read more »  Monika Gosk, works at British Pound Sterling (1981-present)Posted Jan 21This morning, I woke up with my shirt and pants soaking wet. I thought I had wet the bed. But then, I saw that I was covered in blood, and it scared me so much. I looked beside me and saw a bullet.... Read more » Read more in World Beauties and WondersThis email was sent by Quora (605 Castro Street, Mountain View, CA 94041).You were sent this email because you might like World Beauties and Wonders. If you don't want these updates anymore, you can mute World Beauties and Wonders or unsubscribe.https://www.quora.com",No Attachment
ecomsupport@pathao.com,"=?UTF-8?Q?Urgent_Assistance_Required_to_Retrieve_C?=
 =?UTF-8?Q?anceled_Order_Product_=E2=80=93_Order_ID?=
 =?UTF-8?Q?=3A_DH210725GZGV6E?=","Dear Merchant,Good day.Thank you for reaching out to us. We are extremely sorry for your inconvenience. Our concerned team has been informed regarding this issue. Hopefully, the issue will be solved soon.For any further assistance, please let us know.Thank you for being with Pathao.Best Regards,Md. Nazir HossainCustomer Experience Team,Pathao Limited. 

                      On Tue Jul 22 2025 at 05:41:06 PM  wrote:
Dear Pathao Customer Service,
We are reaching out regarding a recent issue with Order ID DH210725GZGV6E. The product was picked up by the delivery man, but shortly after, the customer canceled the order by calling us directly. We then promptly canceled the order through your portal, assuming the product would be returned to us.
Unfortunately, we have not received the product back, and there is no clear instruction on how to retrieve it. We called your customer service, but it took over 10 minutes to connect. When we finally spoke to a representative and expressed the difficulty in reaching support for such urgent matters, we were advised to use the live chat option. However, this feature has been unavailable for the past month, despite being very helpful before.
We are now in a difficult position and need a solution urgently. Kindly inform us of the next steps to retrieve our product or connect us with the concerned department who can resolve this matter quickly. Find the pictures attached of the product for your reference.
Looking forward to your urgent response and support.
Best regards,       Irfana AfifaAsst. HR, Communications Manager & CE SupervisorHappy Haat Ltd.+8801890-030303https://happyhaat.com/House 34, Road 8/A, Dhaka 1229, Nikunja 1",No Attachment
support@salesql.com,Reverse Email Lookup is now available in SalesQL,"Turn email-only lists into full contact profiles — here’s how. ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­   
Hey Happy,Have a list of email addresses from a signup form, webinar, or a cold campaign?With our new Reverse Email Lookup feature, SalesQL can now turn a simple list of emails into rich contact profiles in just a few clicks.What could you get from just an email address?
Full nameCompany and job titleLinkedIn profileBusiness and personal emailsPhone numberAnd moreIt’s now available under CSV Enrichment, and it’s helping teams enrich thousands of contacts effortlessly.

👉 See how Reverse Email Lookup works
This feature is part of our paid plans, designed for professionals who work with lead lists at scale and need results fast.Your data can do more. Let us help you get the most out of it.Learn more in our step-by-step guideThe SalesQL Team 

You are receiving this email because you are a registered user of SalesQL
© 2025 SalesQL. All rights reserved.
Medius House LG, 2 Sheraton St London W1F 8BHUnsubscribe",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?Is_it_possible_for_kidneys_to_heal_themselves_from_stage_5_chronic?=
 =?utf-8?q?_kidney_disease_=28CK=2E=2E=2E=3F?=","Is it possible for kidneys to heal themselves from stage 5 chronic kidney disease (CK...?At stage 5 chronic kidney disease (CKD) (or end-stage renal disease), your kidneys have been significantly and irreversibly damaged (less than 15% function). Once kidneys reach this stage they c… Top stories for Support Is it possible for kidneys to heal themselves from stage 5 chronic kidney disease (CKD) or dialysis?Brielle Rutar, studied University of California, Berkeley • Answered March 25At stage 5 chronic kidney disease (CKD) (or end-stage renal disease), your kidneys have been significantly and irreversibly damaged (less than 15% function). Once kidneys r... Read more »16318 My eye number is -3.75 and -2.50. Is it very weak? Do I need to wear glasses all the time? Will this improve or get worse?Bill Otto, Top Writer Eyesight & Optometry at Quora • Answered November 4, 2021What you refer to as your eye number is a prescription that tells what focal length of lenses are needed to focus images at your retina of distant objects. Since the numbers... Read more »13522 Will a smoker’s lungs clean themselves if they quit smoking and how long does it take?Bruce Jackson, lives in Australia • Answered April 18Several years ago I asked a Radiology Specialist whom I periodically worked with the exact same question. He told me that the lungs can clean and repair themselves over tim... Read more »800111 Do dead people know that they are…dead?Факих Мухаммад 法貴, Content Creator & Visual Designer at Canva App (2024-present) • Updated July 10I don't know what death itself feels like, but I once had an experience when I was in a coma for a month because of a brain tumor.I didn’t feel anything, but what was stra... Read more »1.2K276 I received 68 bitcoin from a random address. What should I do, call the police?Ron Rule • Updated July 27, 2022I would do nothing. Don’t sign into whatever account it’s in either. In other words, forget it and the account it’s in exists - for now. Here’s why: First, because it’s incr... Read more »24K142 I am 30 years old. I still get mild acne on my face. Why?Aabha Singh • Answered January 24Getting acne at an advanced age can be extremely distressing. What you seem to be talking of here is adult acne. I’ll list some the reasons for adult acne here: Hormonal imb...Read more »384 Has a surgeon ever given up in the middle of a surgery and left a patient/team stranded?Phil Yust, Certified Registered Nurse Anesthesiologist (CRNA) at Ascentist Healthcare (202... • Answered July 11I am a nurse anesthesiologist (CRNA) in practice for 42 years. I once had a general surgeon doing an open appendectomy break scrub and leave the room. He was sick and just ... Read more »2.2K58 What are some cool WhatsApp tricks?Praveen Rana, Developing hacks for lives • Updated March 19, 2018DELETE FOR EVERYONE, even after 7 minutes So we have this new WhatsApp feature called DELETE FOR EVERYONE which appear when you try to delete a message, This is how it looks ... Read more »16.5K261 I'm 58 years old. I am addicted to meth. Where can I get help at my age?Bil Griffith-Black, Platt College • Answered April 19Take it from a 56 year old man who finally decided the life and the dope just wasn't worth it anymore. You know deep down inside its over when its over. You keep playing th... Read more »420154 My father is no more. He has left a big credit card bill which I am not able to pay because I am studying in 11th class only and my mother is not well educated to do a job. What should I do?Chandan Gupta • Answered July 17If the credit card was only in your father’s name, you and your mother usually don’t have to pay from your own money. The bank can claim the money only from what your fathe... Read more »15718 Why do cats bang their forehead on humans?Bradley Betts, Nature geek, cat owner • Answered October 11, 2019Why do cats bang their foreheads against humans? Ah yes, the head boop. Or “bunting”, as it’s properly known. You’ll notice that they don’t just headbutt you- it’s more of a ... Read more »8.8K318 I just got diagnosed with cataracts. How soon is it until I go completely blind and how close are we to a cure?Jeff Redman, former Video Production Assistant and Jack of Most Trades at CSUS University Fou... • Answered June 27You almost certainly need not go blind at all. I had cataracts in both eyes.Difficulty reading books without magnification and, most importantly, the “flare” when driving ... Read more »136Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
